feature,importance
customer_gender_male,1.5136716308529514
num_injuries,0.793831153458291
customer_gender_female,0.5881625371261636
authorities_contacted_fire,0.4275199562224512
num_insurers_past_5_years,0.42106558081836715
driver_relationship_child,0.41808207294720834
num_vehicles_involved,0.4159410846219779
driver_relationship_spouse,0.38302119994813805
num_witnesses,0.368363933465474
num_claims_past_year,0.32142374812788227
incident_type_theft,0.28358266700392104
policy_state_id,0.26707530953188763
authorities_contacted_police,0.22487927469696492
incident_severity,0.21975365876897127
collision_type_side,0.20637391917661096
police_report_available,0.18584352705284504
collision_type_rear,0.15946953846069245
driver_relationship_other,0.15423237345591082
incident_type_breakin,0.15182777270839665
policy_state_or,0.14892726075980192
policy_state_ca,0.1359360753507853
collision_type_na,0.13175489429552933
driver_relationship_na,0.13175489429552933
customer_education,0.12975086188809173
authorities_contacted_none,0.12574745213359156
incident_type_collision,0.11789544512325983
driver_relationship_self,0.07139780133148753
collision_type_front,0.07099106440802325
authorities_contacted_ambulance,0.06303378021989385
policy_state_wa,0.054420413556521975
policy_state_az,0.03791310269307262
incident_dow,0.027748151494516923
policy_deductable,0.022709443228256052
incident_month,0.02153259966894454
policy_state_nv,0.012578733456580641
customer_age,0.008221088892073694
auto_year,0.00802292330121053
policy_liability,0.007330362400653563
incident_day,0.00512331509632255
incident_hour,0.0018127510130392568
months_as_customer,0.0016600162022022329
policy_annual_premium,2.4633502215153554e-05
vehicle_claim,8.585458266352676e-06
injury_claim,6.060535876739283e-06
total_claim_amount,2.523925727529925e-06
